Sampling Site,Long,Lat
Temp_Log_List,N 55.02790,E 008.43685
Field K1,N 54.95784,E 008.38266
Field K2,N 54.95732,E 008.38206
Temp_Log_Kampen,N 54.95783,E 008.38107
